#Antizana;;;;;;;;;;;
#station_name;jj_debut;mm_debut;aaaa_debut;jj_fin;mm_fin;aaaa_fin;lat_wgs84;lon_wgs84;altitude;BM_par_tranche_altitude;mois
5000_5050;-6999;1;1996;-6999;2;1996;-0.476689;-78.150164;5025;-0.10;1
4950_5000;-6999;1;1996;-6999;2;1996;-0.476303;-78.151219;4975;-0.13;1
4900_4950;-6999;1;1996;-6999;2;1996;-0.475682;-78.152163;4925;-0.32;1
4850_4900;-6999;1;1996;-6999;2;1996;-0.47481;-78.153253;4875;-0.28;1
4800_4850;-6999;1;1996;-6999;2;1996;-0.473556;-78.154349;4825;-0.49;1
5000_5050;-6999;2;1996;-6999;3;1996;-0.476689;-78.150164;5025;-0.03;2
4950_5000;-6999;2;1996;-6999;3;1996;-0.476303;-78.151219;4975;-0.03;2
4900_4950;-6999;2;1996;-6999;3;1996;-0.475682;-78.152163;4925;-0.01;2
4850_4900;-6999;2;1996;-6999;3;1996;-0.47481;-78.153253;4875;-0.02;2
4800_4850;-6999;2;1996;-6999;3;1996;-0.473556;-78.154349;4825;-0.03;2
5000_5050;-6999;3;1996;-6999;4;1996;-0.476689;-78.150164;5025;0.05;3
4950_5000;-6999;3;1996;-6999;4;1996;-0.476303;-78.151219;4975;-0.04;3
4900_4950;-6999;3;1996;-6999;4;1996;-0.475682;-78.152163;4925;0.08;3
4850_4900;-6999;3;1996;-6999;4;1996;-0.47481;-78.153253;4875;-0.43;3
4800_4850;-6999;3;1996;-6999;4;1996;-0.473556;-78.154349;4825;-0.41;3
5000_5050;-6999;4;1996;-6999;5;1996;-0.476689;-78.150164;5025;0.05;4
4950_5000;-6999;4;1996;-6999;5;1996;-0.476303;-78.151219;4975;-0.04;4
4900_4950;-6999;4;1996;-6999;5;1996;-0.475682;-78.152163;4925;-0.04;4
4850_4900;-6999;4;1996;-6999;5;1996;-0.47481;-78.153253;4875;-0.48;4
4800_4850;-6999;4;1996;-6999;5;1996;-0.473556;-78.154349;4825;-0.35;4
5000_5050;-6999;5;1996;-6999;6;1996;-0.476689;-78.150164;5025;-0.07;5
4950_5000;-6999;5;1996;-6999;6;1996;-0.476303;-78.151219;4975;-0.04;5
4900_4950;-6999;5;1996;-6999;6;1996;-0.475682;-78.152163;4925;-0.05;5
4850_4900;-6999;5;1996;-6999;6;1996;-0.47481;-78.153253;4875;-0.27;5
4800_4850;-6999;5;1996;-6999;6;1996;-0.473556;-78.154349;4825;-0.34;5
5000_5050;-6999;6;1996;-6999;7;1996;-0.476689;-78.150164;5025;-0.07;6
4950_5000;-6999;6;1996;-6999;7;1996;-0.476303;-78.151219;4975;-0.04;6
4900_4950;-6999;6;1996;-6999;7;1996;-0.475682;-78.152163;4925;-0.24;6
4850_4900;-6999;6;1996;-6999;7;1996;-0.47481;-78.153253;4875;-0.54;6
4800_4850;-6999;6;1996;-6999;7;1996;-0.473556;-78.154349;4825;-0.70;6
5000_5050;-6999;7;1996;-6999;8;1996;-0.476689;-78.150164;5025;-0.07;7
4950_5000;-6999;7;1996;-6999;8;1996;-0.476303;-78.151219;4975;-0.12;7
4900_4950;-6999;7;1996;-6999;8;1996;-0.475682;-78.152163;4925;-0.05;7
4850_4900;-6999;7;1996;-6999;8;1996;-0.47481;-78.153253;4875;-0.09;7
4800_4850;-6999;7;1996;-6999;8;1996;-0.473556;-78.154349;4825;-0.36;7
5000_5050;-6999;8;1996;-6999;9;1996;-0.476689;-78.150164;5025;-6999;8
4950_5000;-6999;8;1996;-6999;9;1996;-0.476303;-78.151219;4975;-0.14;8
4900_4950;-6999;8;1996;-6999;9;1996;-0.475682;-78.152163;4925;-6999;8
4850_4900;-6999;8;1996;-6999;9;1996;-0.47481;-78.153253;4875;-0.09;8
4800_4850;-6999;8;1996;-6999;9;1996;-0.473556;-78.154349;4825;-0.28;8
5000_5050;-6999;9;1996;-6999;10;1996;-0.476689;-78.150164;5025;-0.20;9
4950_5000;-6999;9;1996;-6999;10;1996;-0.476303;-78.151219;4975;-0.10;9
4900_4950;-6999;9;1996;-6999;10;1996;-0.475682;-78.152163;4925;-0.19;9
4850_4900;-6999;9;1996;-6999;10;1996;-0.47481;-78.153253;4875;-0.20;9
4800_4850;-6999;9;1996;-6999;10;1996;-0.473556;-78.154349;4825;-0.29;9
5000_5050;-6999;10;1996;-6999;11;1996;-0.476689;-78.150164;5025;-0.20;10
4950_5000;-6999;10;1996;-6999;11;1996;-0.476303;-78.151219;4975;-0.13;10
4900_4950;-6999;10;1996;-6999;11;1996;-0.475682;-78.152163;4925;-0.32;10
4850_4900;-6999;10;1996;-6999;11;1996;-0.47481;-78.153253;4875;-0.31;10
4800_4850;-6999;10;1996;-6999;11;1996;-0.473556;-78.154349;4825;-0.72;10
5000_5050;-6999;11;1996;-6999;12;1996;-0.476689;-78.150164;5025;-0.17;11
4950_5000;-6999;11;1996;-6999;12;1996;-0.476303;-78.151219;4975;-0.32;11
4900_4950;-6999;11;1996;-6999;12;1996;-0.475682;-78.152163;4925;-0.36;11
4850_4900;-6999;11;1996;-6999;12;1996;-0.47481;-78.153253;4875;-0.46;11
4800_4850;-6999;11;1996;-6999;12;1996;-0.473556;-78.154349;4825;-0.69;11
5000_5050;-6999;12;1996;3;1;1997;-0.476689;-78.150164;5025;-0.07;12
4950_5000;-6999;12;1996;3;1;1997;-0.476303;-78.151219;4975;-0.30;12
4900_4950;-6999;12;1996;3;1;1997;-0.475682;-78.152163;4925;-0.66;12
4850_4900;-6999;12;1996;3;1;1997;-0.47481;-78.153253;4875;-0.41;12
4800_4850;-6999;12;1996;3;1;1997;-0.473556;-78.154349;4825;-0.45;12
