Fecha;cotas(cm);Q(lt/s)
01/01/2003 0:00;-6999;-6999
01/08/2003 16:07;9;22.84082712
01/08/2003 16:16;9;22.84082712
01/08/2003 19:53;9;22.84082712
01/08/2003 22:22;8;18.89897478
02/08/2003 1:31;7;15.27542827
02/08/2003 6:45;6;11.97467286
02/08/2003 8:17;6;11.97467286
02/08/2003 9:04;8;18.89897478
02/08/2003 10:08;8;18.89897478
02/08/2003 12:59;8;18.89897478
02/08/2003 13:58;9;22.84082712
02/08/2003 14:44;12;36.55466054
02/08/2003 14:47;12;36.55466054
02/08/2003 15:06;13;41.75313334
02/08/2003 15:26;14;47.2657338
02/08/2003 16:01;16;59.23760777
02/08/2003 16:03;16;59.23760777
02/08/2003 17:43;16;59.23760777
02/08/2003 18:58;15;53.09345561
02/08/2003 20:01;14;47.2657338
02/08/2003 21:16;13;41.75313334
02/08/2003 22:16;12;36.55466054
03/08/2003 0:09;10;27.09824468
03/08/2003 0:38;10;27.09824468
03/08/2003 3:31;8;18.89897478
03/08/2003 4:59;8;18.89897478
03/08/2003 8:55;8;18.89897478
03/08/2003 9:31;10;27.09824468
03/08/2003 10:27;9;22.84082712
03/08/2003 11:48;7;15.27542827
03/08/2003 13:22;9;22.84082712
03/08/2003 13:27;9;22.84082712
03/08/2003 14:04;11;31.66972286
03/08/2003 14:06;11;31.66972286
03/08/2003 14:26;12;36.55466054
03/08/2003 15:05;14;47.2657338
03/08/2003 18:26;13;41.75313334
03/08/2003 20:08;12;36.55466054
03/08/2003 21:19;11;31.66972286
03/08/2003 22:16;10;27.09824468
04/08/2003 1:22;8;18.89897478
04/08/2003 1:44;8;18.89897478
04/08/2003 4:56;7;15.27542827
04/08/2003 8:07;7;15.27542827
04/08/2003 9:04;8;18.89897478
04/08/2003 10:35;8;18.89897478
04/08/2003 11:48;8;18.89897478
04/08/2003 12:36;9;22.84082712
04/08/2003 13:32;14;47.2657338
04/08/2003 13:35;14;47.2657338
04/08/2003 14:06;15;53.09345561
04/08/2003 14:43;16;59.23760777
04/08/2003 16:29;16;59.23760777
04/08/2003 18:05;15;53.09345561
04/08/2003 19:27;14;47.2657338
04/08/2003 20:19;13;41.75313334
04/08/2003 21:38;11;31.66972286
04/08/2003 21:45;11;31.66972286
05/08/2003 0:16;9;22.84082712
05/08/2003 0:24;9;22.84082712
05/08/2003 2:15;8;18.89897478
05/08/2003 3:45;6;11.97467286
05/08/2003 4:13;6;11.97467286
05/08/2003 8:08;6;11.97467286
05/08/2003 9:03;8;18.89897478
05/08/2003 9:38;10;27.09824468
05/08/2003 10:33;9;22.84082712
05/08/2003 11:18;7;15.27542827
05/08/2003 11:59;8;18.89897478
05/08/2003 12:17;9;22.84082712
05/08/2003 13:35;13;41.75313334
05/08/2003 13:39;13;41.75313334
05/08/2003 13:59;14;47.2657338
05/08/2003 14:33;17;65.69974966
05/08/2003 14:38;17;65.69974966
05/08/2003 15:07;19;79.58520396
05/08/2003 15:13;19;79.58520396
05/08/2003 15:54;19;79.58520396
05/08/2003 18:30;18;72.48164121
05/08/2003 19:10;17;65.69974966
05/08/2003 20:11;17;65.69974966
