#station_name;latitude (dec. Degrees WGS84);longitude (dec. Degrees WGS84);altitude (m);;;;;;;;;;;;;;;
#Antisana_hors_glacier;-0.47376;-78.15348;4860;;;;;;;;;;;;;;;
#variable_code;variable_name;sensor_manufacturer;sensor_model;units;data_quality;;;;;;;;;;;;;
#Swinc;incoming shortwave radiation;kipp&zonen;CNR1;W.m-2;checked data;;;;;;;;;;;;;
#Swout;outgoing shortwave radiation;kipp&zonen;CNR1;W.m-2;checked data;;;;;;;;;;;;;
#Lwinc;incoming longwave radiation;kipp&zonen;CNR1;W.m-2;checked data;;;;;;;;;;;;;
#Lwout;outgoing longwave radiation;kipp&zonen;CNR1;W.m-2;checked data;;;;;;;;;;;;;
#albedo;albedo;kipp&zonen;CNR1;-;checked data;;;;;;;;;;;;;
#RH;ventilated relative humidity;vaisala;HMP45C;%;checked data;;;;;;;;;;;;;
#T;ventilated air temperature;vaisala;HMP45C;°C;checked data;;;;;;;;;;;;;
#Tnv;non ventilated air temperature;unknown;Pt100;°C;checked data;;;;;;;;;;;;;
#wind_speed;wind speed;young;5103;m.s-1;checked data;;;;;;;;;;;;;
#wind_direction;wind direction;young;5103;deg;checked data;;;;;;;;;;;;;
#Precipitation_Amount;cumulative_precipitations;Geonor;T-200B;mm;checked data;;;;;;;;;;;;;
#Precipitation_Rate;precipitation_rate_ over_ the_past_30_minutes;Davis;rain collector;mm;checked data;;;;;;;;;;;;;
#H_above_snow;distance_sensor_snow;Campbell;SR50;mm;checked data;;;;;;;;;;;;;
#Snow_depth;snow_depth;Campbell;SR50;mm;checked data;;;;;;;;;;;;;
#Ground_flux;Ground atmosphere flux;Hukseflux;HPF01;W.m-2;checked data;;;;;;;;;;;;;
#T_-3cm;ground_temperature_-3cm;unknown;thermocouple;°C;checked data;;;;;;;;;;;;;
#T_-10cm;ground_temperature_-10cm;unknown;thermocouple;°C;checked data;;;;;;;;;;;;;
#T_-30cm;ground_temperature_-30cm;unknown;thermocouple;°C;checked data;;;;;;;;;;;;;
 #date (GMT + 0);Swinc;Swout;albedo;Lwinc;Lwout;RH;T;Tnv;wind_speed;wind_direction;Precipitation_Amount;Precipitation_Rate;H_above_snow;Snow_depth;Ground_flux;T_-3cm;T_-10cm;T_-30cm
01/01/2006 5:00;0;0;-6999;316;316;93.1;-0.445;-1.005;5.007;22.35;412.2003125;0;1306;-6999;-16.53;1.666;3.964;3.967
01/01/2006 5:30;0;0;-6999;233;314;84.6;0.188;0.721;4.985;15.28;412.2003125;0;1306;-6999;-15.57;1.575;3.774;3.915
01/01/2006 6:00;0;0;-6999;229;312;78.7;0.75;0.874;4.199;57.11;411.5;0;1306;-6999;-14.74;1.484;3.607;3.866
01/01/2006 6:30;0;0;-6999;270;314;84.3;0.396;-0.031;5.162;36.12;412.4003125;0;1305;-6999;-13.93;1.402;3.465;3.824
01/01/2006 7:00;0;0;-6999;307;317;92;-0.277;-0.748;4.655;51.45;411.9003125;0;1305;-6999;-13.06;1.344;3.344;3.787
01/01/2006 7:30;0;0;-6999;314;318;95.5;-0.682;-1.263;4.029;12.92;412;0;1305;-6999;-12.33;1.292;3.225;3.74
01/01/2006 8:00;0;0;-6999;244;315;89.7;-1.078;-1.192;5.712;62.74;412.5;0;1305;-6999;-11.78;1.232;3.098;3.671
01/01/2006 8:30;0;0;-6999;226;314;78.5;-1.127;-1.015;6.03;24.41;412.5;0;1305;-6999;-11.4;1.164;2.983;3.606
01/01/2006 9:00;0;0;-6999;224;313;72.7;-1.028;-0.959;5.638;56.71;412.9003125;0;1305;-6999;-10.98;1.092;2.879;3.544
01/01/2006 9:30;0;0;-6999;232;313;73;-1.012;-1.04;4.985;48.38;412.2003125;0;1304;-6999;-10.55;1.025;2.791;3.491
01/01/2006 10:00;0;0;-6999;257;314;79.2;-0.978;-0.875;5.476;21.13;412.5;0;1303;-6999;-10.17;0.972;2.72;3.442
01/01/2006 10:30;0;0;-6999;217;311;63.73;-0.869;-0.752;5.07;85.4;412.1003125;0;1303;-6999;-9.81;0.931;2.657;3.397
01/01/2006 11:00;0;0;-6999;205;306;26.63;-0.542;-0.356;5.749;89.4;412.4003125;0;1303;-6999;-9.57;0.878;2.583;3.334
01/01/2006 11:30;3;3;-6999;212;307;27.18;-0.768;-0.627;5.23;38.95;412.1003125;0;1302;-6999;-9.28;0.84;2.533;3.291
01/01/2006 12:00;14;5;-6999;220;310;56.19;-0.923;-1.046;5.392;48.72;412.2003125;0;1300;-6999;-8.99;0.807;2.488;3.254
