#Antizana;;;;;;;;;;;
#station_name;jj_debut;mm_debut;aaaa_debut;jj_fin;mm_fin;aaaa_fin;lat_wgs84;lon_wgs84;altitude;BM_par_tranche_altitude;mois
5000_5050;30;12;1998;29;1;1999;-0.476689;-78.150164;5025;-0.12;1
4950_5000;30;12;1998;29;1;1999;-0.476303;-78.151219;4975;0.01;1
4900_4950;30;12;1998;29;1;1999;-0.475682;-78.152163;4925;0.01;1
4850_4900;30;12;1998;29;1;1999;-0.47481;-78.153253;4875;-0.04;1
4800_4850;30;12;1998;29;1;1999;-0.473556;-78.154349;4825;-0.01;1
5000_5050;29;1;1999;2;3;1999;-0.476689;-78.150164;5025;-0.03;2
4950_5000;29;1;1999;2;3;1999;-0.476303;-78.151219;4975;0.05;2
4900_4950;29;1;1999;2;3;1999;-0.475682;-78.152163;4925;-0.02;2
4850_4900;29;1;1999;2;3;1999;-0.47481;-78.153253;4875;-0.03;2
4800_4850;29;1;1999;2;3;1999;-0.473556;-78.154349;4825;-0.05;2
5000_5050;2;3;1999;31;3;1999;-0.476689;-78.150164;5025;-0.05;3
4950_5000;2;3;1999;31;3;1999;-0.476303;-78.151219;4975;-0.06;3
4900_4950;2;3;1999;31;3;1999;-0.475682;-78.152163;4925;-0.04;3
4850_4900;2;3;1999;31;3;1999;-0.47481;-78.153253;4875;-0.07;3
4800_4850;2;3;1999;31;3;1999;-0.473556;-78.154349;4825;-0.10;3
5000_5050;31;3;1999;30;4;1999;-0.476689;-78.150164;5025;-6999;4
4950_5000;31;3;1999;30;4;1999;-0.476303;-78.151219;4975;-6999;4
4900_4950;31;3;1999;30;4;1999;-0.475682;-78.152163;4925;-0.02;4
4850_4900;31;3;1999;30;4;1999;-0.47481;-78.153253;4875;-0.07;4
4800_4850;31;3;1999;30;4;1999;-0.473556;-78.154349;4825;-0.03;4
5000_5050;30;4;1999;30;5;1999;-0.476689;-78.150164;5025;-6999;5
4950_5000;30;4;1999;30;5;1999;-0.476303;-78.151219;4975;-6999;5
4900_4950;30;4;1999;30;5;1999;-0.475682;-78.152163;4925;-0.03;5
4850_4900;30;4;1999;30;5;1999;-0.47481;-78.153253;4875;-0.04;5
4800_4850;30;4;1999;30;5;1999;-0.473556;-78.154349;4825;-0.05;5
5000_5050;30;5;1999;30;6;1999;-0.476689;-78.150164;5025;-6999;6
4950_5000;30;5;1999;30;6;1999;-0.476303;-78.151219;4975;-6999;6
4900_4950;30;5;1999;30;6;1999;-0.475682;-78.152163;4925;-0.11;6
4850_4900;30;5;1999;30;6;1999;-0.47481;-78.153253;4875;-0.04;6
4800_4850;30;5;1999;30;6;1999;-0.473556;-78.154349;4825;-0.22;6
5000_5050;30;6;1999;29;7;1999;-0.476689;-78.150164;5025;-6999;7
4950_5000;30;6;1999;29;7;1999;-0.476303;-78.151219;4975;-6999;7
4900_4950;30;6;1999;29;7;1999;-0.475682;-78.152163;4925;-0.11;7
4850_4900;30;6;1999;29;7;1999;-0.47481;-78.153253;4875;-0.08;7
4800_4850;30;6;1999;29;7;1999;-0.473556;-78.154349;4825;-0.38;7
5000_5050;29;7;1999;31;8;1999;-0.476689;-78.150164;5025;-6999;8
4950_5000;29;7;1999;31;8;1999;-0.476303;-78.151219;4975;-6999;8
4900_4950;29;7;1999;31;8;1999;-0.475682;-78.152163;4925;-0.08;8
4850_4900;29;7;1999;31;8;1999;-0.47481;-78.153253;4875;-0.07;8
4800_4850;29;7;1999;31;8;1999;-0.473556;-78.154349;4825;-0.18;8
5000_5050;31;8;1999;1;10;1999;-0.476689;-78.150164;5025;-6999;9
4950_5000;31;8;1999;1;10;1999;-0.476303;-78.151219;4975;-6999;9
4900_4950;31;8;1999;1;10;1999;-0.475682;-78.152163;4925;-0.06;9
4850_4900;31;8;1999;1;10;1999;-0.47481;-78.153253;4875;-0.03;9
4800_4850;31;8;1999;1;10;1999;-0.473556;-78.154349;4825;-0.15;9
5000_5050;1;10;1999;1;11;1999;-0.476689;-78.150164;5025;-6999;10
4950_5000;1;10;1999;1;11;1999;-0.476303;-78.151219;4975;-6999;10
4900_4950;1;10;1999;1;11;1999;-0.475682;-78.152163;4925;-0.06;10
4850_4900;1;10;1999;1;11;1999;-0.47481;-78.153253;4875;-0.21;10
4800_4850;1;10;1999;1;11;1999;-0.473556;-78.154349;4825;-0.15;10
5000_5050;1;11;1999;-6999;12;1999;-0.476689;-78.150164;5025;-6999;11
4950_5000;1;11;1999;-6999;12;1999;-0.476303;-78.151219;4975;-6999;11
4900_4950;1;11;1999;-6999;12;1999;-0.475682;-78.152163;4925;-0.07;11
4850_4900;1;11;1999;-6999;12;1999;-0.47481;-78.153253;4875;-0.28;11
4800_4850;1;11;1999;-6999;12;1999;-0.473556;-78.154349;4825;-0.26;11
5000_5050;-6999;12;1999;4;1;2000;-0.476689;-78.150164;5025;-6999;12
4950_5000;-6999;12;1999;4;1;2000;-0.476303;-78.151219;4975;-6999;12
4900_4950;-6999;12;1999;4;1;2000;-0.475682;-78.152163;4925;-0.09;12
4850_4900;-6999;12;1999;4;1;2000;-0.47481;-78.153253;4875;-0.30;12
4800_4850;-6999;12;1999;4;1;2000;-0.473556;-78.154349;4825;-0.27;12
